prueba,image_id,entrada_original,variante,rank_original,rank_variante,score_original,score_variante,top1_original,top1_variante,cambio_score,cambio_rank,cambio_observado,interpretacion
sensibilidad_al_texto,T001,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta rojo, negro, crema.","Imagen generada con motivo bandas geometricas, composición horizontal y paleta rojo_negro_crema.",3,4,0.3615766167640686,0.3322681188583374,T006,T036,0.0293084979057312,1,bajo,Evalúa si una reformulación textual con significado similar cambia de forma importante la posición de la imagen esperada.
sensibilidad_al_texto,T002,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta azul, crema, marron.","Imagen generada con motivo bandas geometricas, composición vertical y paleta azul_crema_marron.",3,1,0.3695979714393616,0.3684866726398468,T012,T002,0.0011112987995147705,2,medio,Evalúa si una reformulación textual con significado similar cambia de forma importante la posición de la imagen esperada.
sensibilidad_al_texto,T003,"Patron textil generado con composicion central, motivos de rombos y paleta ocre, marron, negro.","Imagen generada con motivo rombos, composición central y paleta ocre_marron_negro.",15,7,0.2843456268310547,0.2841888666152954,T018,T018,0.00015676021575927734,8,alto,Evalúa si una reformulación textual con significado similar cambia de forma importante la posición de la imagen esperada.
sensibilidad_al_texto,T004,"Patron textil generado con composicion modular, motivos de grecas escalonadas y paleta blanco, negro, gris.","Imagen generada con motivo grecas escalonadas, composición modular y paleta blanco_negro_gris.",6,6,0.2778145968914032,0.24529264867305756,T014,T014,0.03252194821834564,0,medio,Evalúa si una reformulación textual con significado similar cambia de forma importante la posición de la imagen esperada.
sensibilidad_al_texto,T005,"Patron textil generado con composicion reticular, motivos de cuadricula geometrica y paleta multicolor, tierra.","Imagen generada con motivo cuadricula geometrica, composición reticular y paleta multicolor_tierra.",13,11,0.2653997838497162,0.22892774641513824,T030,T030,0.03647203743457794,2,medio,Evalúa si una reformulación textual con significado similar cambia de forma importante la posición de la imagen esperada.
degradacion_visual,T010,data/images/T010.png,"imagen en baja resolución, escala de grises y desenfoque ligero",26,28,0.2606535255908966,0.21610599756240845,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta multicolor, tierra.","Patron textil generado con composicion central, motivos de rombos y paleta blanco, negro, gris.",0.04454752802848816,2,medio,Evalúa si la recuperación imagen texto se mantiene cuando la imagen pierde calidad visual.
degradacion_visual,T024,data/images/T024.png,"imagen en baja resolución, escala de grises y desenfoque ligero",4,6,0.3170833885669708,0.28138506412506104,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta blanco, negro, gris.","Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta blanco, negro, gris.",0.03569832444190979,2,medio,Evalúa si la recuperación imagen texto se mantiene cuando la imagen pierde calidad visual.
degradacion_visual,T032,data/images/T032.png,"imagen en baja resolución, escala de grises y desenfoque ligero",1,28,0.3695981204509735,0.21669510006904602,"Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta azul, crema, marron.","Patron textil generado con composicion vertical, motivos de bandas geometricas y paleta blanco, negro, gris.",0.1529030203819275,27,alto,Evalúa si la recuperación imagen texto se mantiene cuando la imagen pierde calidad visual.
degradacion_visual,T037,data/images/T037.png,"imagen en baja resolución, escala de grises y desenfoque ligero",1,21,0.371223509311676,0.22056390345096588,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta azul, crema, marron.","Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta blanco, negro, gris.",0.15065960586071014,20,alto,Evalúa si la recuperación imagen texto se mantiene cuando la imagen pierde calidad visual.
degradacion_visual,T040,data/images/T040.png,"imagen en baja resolución, escala de grises y desenfoque ligero",25,23,0.2606535255908966,0.21610599756240845,"Patron textil generado con composicion horizontal, motivos de bandas geometricas y paleta multicolor, tierra.","Patron textil generado con composicion central, motivos de rombos y paleta blanco, negro, gris.",0.04454752802848816,2,medio,Evalúa si la recuperación imagen texto se mantiene cuando la imagen pierde calidad visual.
